Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-31 00:39:35,1,0,0,0,1,4,9,3,0,3,0,4,,Gary Hu,JF
2025-07-31 00:43:52,2,1,0,0,0,0,0,0,0,0,0,0,,,
2025-07-31 00:44:50,3,1,1,1,0,2,8,2,2,0,0,1,,,
2025-07-31 00:48:40,4,1,2,1,1,5,29,4,2,2,0,4,Chris,Leo,Kaylee
2025-07-31 00:56:37,5,2,2,0,0,1,4,1,1,0,0,1,,,
2025-07-31 00:59:18,6,2,3,1,0,2,6,2,1,1,0,1,,,
2025-07-31 01:02:09,7,2,4,1,1,2,10,1,1,0,0,1,Gary Gong,Albert Kwek,Taozi
2025-07-31 01:05:47,8,3,4,0,1,5,19,4,2,2,1,4,SA,JF,Kaylee
2025-07-31 01:13:15,9,4,4,0,1,2,21,1,0,1,1,1,Olivia ,Gary Gong,DJJ
2025-07-31 01:19:39,10,5,4,0,1,2,10,1,1,0,0,2,Chris,Leo,JF
2025-07-31 01:23:27,11,6,4,0,0,0,0,0,0,0,0,0,,,
2025-07-31 01:24:38,12,6,5,1,0,4,13,4,3,1,2,1,,,
2025-07-31 01:29:59,13,6,6,1,1,1,5,0,0,0,0,0,Leo,Gary Gong,Leo
2025-07-31 01:31:23,14,7,6,0,0,1,4,1,1,0,0,1,,,
2025-07-31 01:35:35,15,7,7,1,1,1,11,0,0,0,0,0,Gordon,Kaylee,Avery Qi
2025-07-31 01:38:27,16,8,7,1,0,1,6,1,1,0,0,0,,,
2025-07-31 01:41:00,17,8,8,1,0,0,0,0,0,0,0,0,,,
