Created,Point,Possession,Started point on offense?,Scored?,Start X (0 -> 1 = left sideline -> right sideline),Start Y (0 -> 1 = back of opponent endzone -> back of own endzone),Initiator,Passes,Secondary assist,Assist,Goal,Thrower error,Receiver error,Stalled out
2025-07-31 00:40:50,1,1,0,0,0.5075653,0.2888436,Gary Gong,1,,,,,Lina,
2025-07-31 00:41:12,1,2,0,0,0.5337001,0.2134488,Gary Gong,1,,,,,JF,
2025-07-31 00:41:55,1,3,0,0,0.030261306,0.31788078,Gary Gong,6,,,,,Taozi,
2025-07-31 00:43:47,1,4,0,1,0.035763413,0.26948547,Gary Hu,1,,Gary Hu,JF,,,
2025-07-31 00:46:27,3,1,1,0,0.49931222,0.56851757,Gary Hu,7,,,,Gordon,,
2025-07-31 00:48:16,3,2,1,0,0.49793673,0.43657666,Gary Hu,1,,,,Gary Hu,,
2025-07-31 00:49:21,4,1,1,0,0.5144429,0.8614366,Albert Kwek,10,,,,,Sky,
2025-07-31 00:52:31,4,2,1,0,0.0123796845,0.54865,Albert Kwek,1,,,,Albert Kwek,,
2025-07-31 00:52:51,4,3,1,0,0.46905088,0.8344371,Albert Kwek,4,,,,,Leo,
2025-07-31 00:53:50,4,4,1,0,0.07290234,0.65562916,SA,4,,,,Chris,,
2025-07-31 00:54:49,4,5,1,1,0.6244842,0.77738154,SA,10,Chris,Leo,Kaylee,,,
2025-07-31 00:58:30,5,1,0,0,0.5006877,0.60570556,Gary Hu,4,,,,Gary Hu,,
2025-07-31 01:00:27,6,1,1,0,0.47867954,0.79826796,Gordon,5,,,,,Gordon,
2025-07-31 01:01:23,6,2,1,0,0.6863824,0.8380031,SA,1,,,,SA,,
2025-07-31 01:03:35,7,1,1,0,0.5075653,0.44829342,Chris,6,,,,Albert Kwek,,
2025-07-31 01:04:45,7,2,1,1,0.5584594,0.8074376,Chris,4,Gary Gong,Albert Kwek,Taozi,,,
2025-07-31 01:07:11,8,1,0,0,0.04389577,0.4413408,Leo,4,,,,,Gary Hu,
2025-07-31 01:08:22,8,2,0,0,0.028885875,0.58991337,SA,4,,,,Kaylee,,
2025-07-31 01:10:14,8,3,0,0,0.4828061,0.841569,SA,1,,,,SA,,
2025-07-31 01:10:40,8,4,0,0,0.31499314,0.83239937,SA,7,,,,,Gary Hu,
2025-07-31 01:12:45,8,5,0,1,0.02613482,0.37748346,Gary Hu,3,SA,JF,Kaylee,,,
2025-07-31 01:14:52,9,1,0,0,0.24621733,0.8140601,Albert Kwek,17,,,,,Taozi,
2025-07-31 01:19:00,9,2,0,1,0.55433285,0.76668364,Albert Kwek,4,Olivia ,Gary Gong,DJJ,,,
2025-07-31 01:21:07,10,1,0,0,0.67400277,0.77687216,Chris,6,,,,Leo,,
2025-07-31 01:22:57,10,2,0,1,0.19669876,0.6989302,Chris,4,Chris,Leo,JF,,,
2025-07-31 01:25:55,12,1,1,0,0.9422284,0.59296995,Avery Qi,4,,,,Gordon,,
2025-07-31 01:27:33,12,2,1,0,0.48968363,0.79011714,Gordon,6,,,,Mini,,
2025-07-31 01:28:47,12,3,1,0,0.48559672,0.3143728,Albert Kwek,1,,,,,Mini,
2025-07-31 01:29:22,12,4,1,0,0.6602476,0.4686704,Albert Kwek,2,,,,Gordon,,
2025-07-31 01:30:51,13,1,1,1,0.5309491,0.71115637,Chris,5,Leo,Gary Gong,Leo,,,
2025-07-31 01:33:09,14,1,0,0,0.24621733,0.83138055,JF,4,,,,JF,,
2025-07-31 01:36:42,15,1,1,1,0.56121045,0.70045847,Gordon,11,Gordon,Kaylee,Avery Qi,,,
2025-07-31 01:39:56,16,1,1,0,0.23796424,0.81456953,SA,6,,,,Albert Kwek,,
