Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-07-19 12:27:52,1,0,0,1,0,1,3,1,1,0,0,0,,,
2025-07-19 12:34:15,2,0,1,1,0,5,24,5,4,1,0,4,,,
2025-07-19 12:43:30,3,0,2,1,0,3,9,3,2,3,1,1,,,
2025-07-19 12:47:25,4,0,3,1,0,1,2,1,1,0,0,0,,,
2025-07-19 12:53:48,5,0,4,1,0,1,4,1,0,1,0,0,,,
2025-07-19 12:55:31,6,0,5,1,1,1,6,0,0,0,0,0,Sky,JF,Leo
2025-07-19 12:57:46,7,1,5,0,0,0,0,0,0,0,0,0,,,
2025-07-19 13:13:54,8,1,6,1,1,1,8,0,0,0,0,0,Kaylee,Albert Kwek,Leo
2025-07-19 13:16:35,9,2,6,0,1,2,4,1,1,0,0,2,,JF,Leo
2025-07-19 13:19:48,10,3,6,0,0,9,34,9,7,3,4,5,,,
2025-07-19 13:33:37,11,3,7,0,0,0,0,0,0,0,0,0,,,
2025-07-19 13:36:34,12,3,8,1,1,5,13,4,3,1,1,3,Albert Kwek,JF,Leo
2025-07-19 13:43:30,13,4,8,0,0,0,0,0,0,0,0,0,,,
2025-07-19 13:44:28,14,4,9,1,0,1,10,1,1,0,0,0,,,
2025-07-19 13:47:17,15,4,10,1,0,3,20,3,2,1,2,0,,,
2025-07-19 13:54:13,16,4,11,1,0,2,7,2,1,2,0,1,,,
2025-07-19 13:57:16,17,4,12,1,0,1,4,1,1,0,0,0,,,
2025-07-19 13:59:38,18,4,13,1,1,2,4,1,1,0,1,0,,Leo,DJJ
2025-07-19 14:01:00,19,5,13,0,1,3,10,2,1,1,1,2,Kaylee,Chris,Albert Kwek
2025-07-19 14:06:23,20,6,13,0,0,1,5,1,0,1,1,0,,,
2025-07-19 14:08:35,21,6,14,1,0,0,0,0,0,0,0,0,,,
