Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-08-08 15:34:06,6,Albert Kwek,0,0,0,0,0.9665776,0.4680851
2025-08-08 15:41:05,7,Leo,0,0,0,0,0.11096257,0.56259274
2025-08-08 15:43:08,7,BGK,0,0,0,0,0.093582846,0.23206332
2025-08-08 15:46:03,8,Taozi,0,0,0,0,0.79946524,0.71152896
2025-08-08 15:47:27,8,Chris,0,0,0,0,0.27540106,0.80900544
2025-08-08 15:48:34,8,Chris,0,0,0,0,0.33823532,0.7357744
2025-08-08 16:00:42,11,JF,0,0,0,0,0.024064152,0.48787728
2025-08-08 16:27:12,20,Gary Gong,0,0,0,0,0.26069516,0.46313706
2025-08-08 16:30:40,21,Taozi,0,0,0,0,0.48663104,0.66699654
2025-08-08 16:33:12,21,JF,0,0,0,0,0.60828876,0.37506187
2025-08-08 16:40:52,21,JF,1,0,0,0,0.31818184,0.8416625
