Created,Point,Our score at pull,Opponent's score at pull,Started on offense?,Scored?,Possessions,Passes,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Opposition errors,Secondary assist,Assist,Goal
2025-08-08 15:21:56,1,0,0,0,0,0,0,0,0,0,0,0,,,
2025-08-08 15:23:08,2,0,1,1,1,1,5,0,0,0,0,0,,Leo,BGK
2025-08-08 15:25:03,3,1,1,0,0,0,0,0,0,0,0,0,,,
2025-08-08 15:25:07,4,1,2,1,1,1,4,0,0,0,0,0,BGK,Vishnu,Gary Gong
2025-08-08 15:28:04,5,2,2,0,0,2,5,2,1,1,0,2,,,
2025-08-08 15:31:41,6,2,3,1,1,4,18,3,2,1,1,2,Albert Kwek,JF,Luo Wei
2025-08-08 15:38:50,7,3,3,0,1,2,4,1,1,1,2,0,,BGK,Olivia 
2025-08-08 15:43:20,8,4,3,0,1,5,21,4,3,3,3,2,Olivia ,JF,Chris
2025-08-08 15:52:09,9,5,3,0,0,0,0,0,0,0,0,0,,,
2025-08-08 15:53:26,10,5,4,1,0,1,3,1,1,1,0,0,,,
2025-08-08 15:57:55,11,5,5,1,0,2,6,2,2,1,1,0,,,
2025-08-08 16:01:33,12,5,6,1,0,1,8,1,0,1,0,0,,,
2025-08-08 16:04:59,13,5,7,1,1,1,4,0,0,0,0,0,BGK,Leo,Taozi
2025-08-08 16:06:30,14,6,7,0,0,0,0,0,0,0,0,0,,,
2025-08-08 16:08:02,15,6,8,1,0,1,3,1,1,0,0,0,,,
2025-08-08 16:10:46,16,6,9,1,0,1,5,1,0,1,0,0,,,
2025-08-08 16:13:05,17,6,10,1,1,1,9,0,0,0,0,0,Kaylee,JF,Vishnu
2025-08-08 16:16:55,18,7,10,0,0,2,10,2,0,2,0,2,,,
2025-08-08 16:22:29,19,7,11,1,0,2,7,2,2,0,0,1,,,
2025-08-08 16:25:22,20,7,12,1,0,2,3,2,2,0,1,0,,,
2025-08-08 16:28:23,21,7,13,1,0,9,22,9,6,5,3,5,,,
2025-08-08 16:41:44,22,7,14,1,1,1,6,0,0,0,0,0,Leo,Albert Kwek,Taozi
2025-08-08 16:43:23,23,8,14,0,1,2,8,1,0,1,0,2,,Gary Gong,Leo
2025-08-08 16:48:59,24,9,14,0,0,0,0,0,0,0,0,0,,,
