Created,Point,Player,In own endzone?,In opponent's endzone?,Stall out?,Callahan?,Location X (0 -> 1 = left sideline -> right sideline),Location Y (0 -> 1 = back of opponent endzone -> back of own endzone)
2025-07-19 17:23:21,5,BGK,0,0,0,0,0.5093583,0.31222165
2025-07-19 17:24:08,5,Leo,0,0,0,0,0.3208556,0.39584365
2025-07-19 17:42:33,8,Kaylee,0,0,0,0,0.36363637,0.72191983
2025-07-19 17:58:30,11,Leo,0,0,0,0,0.7352941,0.39683324
2025-07-19 18:08:47,14,Albert Kwek,0,0,0,0,0.6042781,0.6813459
2025-07-19 18:13:07,14,Albert Kwek,0,0,0,0,0.342246,0.8149431
2025-07-19 18:21:29,15,Kaylee,0,0,0,0,0.6109625,0.7258783
2025-07-19 18:27:32,15,Leo,0,0,0,0,0.29545453,0.43097475
2025-07-19 18:31:11,16,Gary Hu,0,0,0,0,0.4491979,0.30776843
2025-07-19 18:37:10,17,Olivia ,0,0,0,0,0.6016043,0.7298367
2025-07-19 18:38:49,17,Gary Gong,0,0,0,0,0.2981283,0.60613555
2025-07-19 18:42:51,18,BGK,0,0,0,0,0.27139038,0.7486393
2025-07-19 18:43:36,18,BGK,0,0,0,0,0.8181819,0.6872835
2025-07-19 18:52:11,20,BGK,0,0,0,0,0.2687166,0.73181593
2025-07-19 18:54:58,21,Olivia ,1,0,0,0,0.4197861,0.86244434
