Player,Points played total,Points played,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
Gary Gong,12,"1,3,4,6,8,11,13,14,16,18,19,20",5,7,4,3,20,9,18,14,6,2,0,2,7,6,1,3,0,0,181.86,104.26,16.53,9.48,179.07,90.05,12.79,6.43
Kaylee,11,"1,2,4,6,8,11,13,15,17,18,20",4,7,2,4,11,6,11,8,3,0,0,0,6,3,3,1,0,0,88.86,22.76,11.11,2.85,97.44,51.41,12.18,6.43
Olivia ,11,"1,3,5,7,9,10,12,14,16,18,20",6,5,4,4,12,8,10,11,1,2,2,2,3,0,3,0,0,0,118.25,42.21,11.83,4.22,140.48,121.57,12.77,11.05
SA,11,"2,4,6,8,10,11,13,15,17,18,20",4,7,2,5,17,6,17,11,6,0,0,0,4,3,1,1,0,0,166.35,53.44,12.80,4.11,143.59,34.74,13.05,3.16
Wenyu Zhu,11,"1,2,4,6,7,9,10,12,14,16,19",5,6,2,4,12,8,11,9,3,1,1,1,2,2,0,0,0,0,94.56,35.58,11.82,4.45,118.94,65.96,13.22,7.33
Lina,11,"1,3,5,7,9,10,12,14,16,18,20",6,5,4,4,1,1,1,1,0,1,0,0,1,0,1,1,0,0,12.07,12.02,12.07,12.02,13.47,9.40,13.47,9.40
DJJ,11,"5,6,7,9,10,12,13,14,15,16,17",6,5,3,5,16,7,14,13,3,2,1,2,1,1,0,1,0,0,207.40,140.62,15.95,10.82,171.86,63.38,13.22,4.88
Albert Kwek,10,"1,3,5,7,9,12,14,16,18,19",5,5,3,3,23,8,23,18,5,0,3,0,3,3,0,0,0,0,193.06,79.07,11.36,4.65,153.87,-8.91,8.55,-0.49
Luo Wei,9,"2,4,7,9,10,12,13,15,19",5,4,2,3,4,3,4,3,1,0,0,0,1,0,1,1,0,0,32.22,7.72,8.06,1.93,33.17,1.88,11.06,0.63
Gordon,9,"2,7,9,10,12,13,15,17,20",6,3,3,3,15,6,15,8,7,2,1,0,1,1,0,0,0,0,171.66,143.64,14.31,11.97,74.05,5.89,9.26,0.74
Leo,7,"4,8,11,15,17,18,20",2,5,1,3,13,7,10,12,1,1,1,3,4,3,1,1,0,0,87.58,-13.26,12.51,-1.89,256.77,178.38,21.40,14.86
Mini,7,"3,5,8,11,15,17,19",2,5,1,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,7.19,-6.43,7.19,-6.43,18.94,18.75,18.94,18.75
Sky,6,"2,4,6,11,14,16",3,3,1,2,4,3,3,3,1,0,0,1,1,0,1,0,0,0,27.56,-2.33,9.19,-0.78,43.89,40.13,14.63,13.38
Shellz,5,"6,8,13,17,19",1,4,1,2,3,1,3,0,3,0,0,0,0,0,0,0,0,0,23.03,6.98,7.68,2.33,0.00,0.00,0.00,0.00
BGK,5,"1,3,5,8,11",1,4,1,1,20,4,20,16,4,1,0,0,2,1,1,1,0,0,232.50,156.95,12.24,8.26,145.51,43.00,9.09,2.69
Ethan,3,"2,3,5",2,1,1,1,3,1,2,3,0,0,0,1,1,1,0,0,0,0,7.97,-6.98,7.97,-6.98,61.10,60.61,20.37,20.20
CZD,1,19,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
