game_id,point_uid,team_line,player,touches,throws,completions,assists,secondary_assists,goals,turnovers,blocks,pulls,yards_gain_m,score_diff_start,point_result,num_possessions,clean_hold,hold,broken,break_scored,break_chance,hucks,swings,dumps
Flat Ballers Association,Flat Ballers Association_P01,O,Olivia ,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,1,0,0,0,0,0
Flat Ballers Association,Flat Ballers Association_P03,O,Olivia ,0,0,0,0,0,0,0,0,0,0.0,-2,1,1,1,1,0,0,0,0,0,0
Flat Ballers Association,Flat Ballers Association_P04,D,Olivia ,0,0,0,0,0,0,0,0,0,0.0,-1,0,1,0,0,0,0,1,0,0,0
Flat Ballers Association,Flat Ballers Association_P06,D,Olivia ,2,1,1,0,1,0,0,0,0,13.41,-1,1,1,0,0,0,1,1,0,0,0
Flat Ballers Association,Flat Ballers Association_P07,D,Olivia ,2,1,1,0,0,0,0,0,0,35.68,0,1,3,0,0,0,1,1,0,0,0
Flat Ballers Association,Flat Ballers Association_P09,D,Olivia ,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,1,1,0,0,0
Flat Ballers Association,Flat Ballers Association_P10,D,Olivia ,2,1,0,0,0,0,1,0,0,2.18,3,0,2,0,0,0,0,1,0,0,1
Flat Ballers Association,Flat Ballers Association_P12,D,Olivia ,0,0,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0,0,0,0,0,0
Flat Ballers Association,Flat Ballers Association_P13,O,Olivia ,0,0,0,0,0,0,0,0,0,0.0,2,1,3,0,1,0,0,0,0,0,0
Flat Ballers Association,Flat Ballers Association_P15,D,Olivia ,0,0,0,0,0,0,0,0,0,0.0,4,1,6,0,0,0,1,1,0,0,0
Flat Ballers Association,Flat Ballers Association_P17,O,Olivia ,1,0,0,0,0,1,0,1,0,23.35,4,1,3,0,1,0,0,0,0,0,0
Flat Ballers Association,Flat Ballers Association_P19,O,Olivia ,0,0,0,0,0,0,0,0,0,0.0,4,1,2,0,1,0,0,0,0,0,0
